,Unnamed: 0,Cars,2021_week,Cumulative,Avg/wk,2021_Y-t-d,country,date
1,Total Carloads,"233,244",-3.7%,"233,244",-3.7%,0.4%,U.S,2022-05-25
2,Chemicals,"33,943",2.4%,"33,943",2.4%,6.5%,U.S,2022-05-25
3,Coal,"65,609",1.5%,"65,609",1.5%,5.9%,U.S,2022-05-25
4,"Farm Products excl. Grain, and Food","15,898",-2.7%,"15,898",-2.7%,2.5%,U.S,2022-05-25
5,Forest Products,"10,300",1.7%,"10,300",1.7%,-0.6%,U.S,2022-05-25
6,Grain,"21,797",-13.9%,"21,797",-13.9%,-10.1%,U.S,2022-05-25
7,Metallic Ores and Metals,"21,664",-8.2%,"21,664",-8.2%,-6.0%,U.S,2022-05-25
8,Motor Vehicles and Parts,"13,831",0.5%,"13,831",0.5%,-4.1%,U.S,2022-05-25
9,Nonmetallic Minerals,"32,268",-3.2%,"32,268",-3.2%,6.1%,U.S,2022-05-25
10,Petroleum and Petroleum Products,"9,805",-9.2%,"9,805",-9.2%,-15.4%,U.S,2022-05-25
11,Other,"8,129",-27.1%,"8,129",-27.1%,-7.5%,U.S,2022-05-25
12,Total Intermodal Units,"273,732",-4.5%,"273,732",-4.5%,-6.8%,U.S,2022-05-25
13,Total Traffic,"506,976",-4.1%,"506,976",-4.1%,-3.6%,U.S,2022-05-25
1,Total Carloads,"75,281",-1.3%,"75,281",-1.3%,-7.0%,Canadian,2022-05-25
2,Chemicals,"12,143",-7.8%,"12,143",-7.8%,-5.3%,Canadian,2022-05-25
3,Coal,"8,056",1.2%,"8,056",1.2%,15.4%,Canadian,2022-05-25
4,"Farm Products excl. Grain, and Food","4,344",-35.4%,"4,344",-35.4%,-28.3%,Canadian,2022-05-25
5,Forest Products,"6,665",-1.8%,"6,665",-1.8%,-7.2%,Canadian,2022-05-25
6,Grain,"6,470",-20.1%,"6,470",-20.1%,-30.2%,Canadian,2022-05-25
7,Metallic Ores and Metals,"15,423",9.7%,"15,423",9.7%,-3.7%,Canadian,2022-05-25
8,Motor Vehicles and Parts,"4,588",1.5%,"4,588",1.5%,-1.1%,Canadian,2022-05-25
9,Nonmetallic Minerals,"6,788",15.2%,"6,788",15.2%,3.4%,Canadian,2022-05-25
10,Petroleum and Petroleum Products,"9,297",29.7%,"9,297",29.7%,6.6%,Canadian,2022-05-25
11,Other,"1,507",-19.5%,"1,507",-19.5%,-19.0%,Canadian,2022-05-25
12,Total Intermodal Units,"76,189",0.9%,"76,189",0.9%,-5.7%,Canadian,2022-05-25
13,Total Traffic,"151,470",-0.2%,"151,470",-0.2%,-6.4%,Canadian,2022-05-25
1,Total Carloads,"21,298",3.1%,"21,298",3.1%,7.7%,Mexican,2022-05-25
2,Chemicals,845,2.8%,845,2.8%,7.2%,Mexican,2022-05-25
3,Coal,74,-46.4%,74,-46.4%,22.7%,Mexican,2022-05-25
4,"Farm Products excl. Grain, and Food","2,260",-0.6%,"2,260",-0.6%,5.4%,Mexican,2022-05-25
5,Forest Products,25,177.8%,25,177.8%,94.4%,Mexican,2022-05-25
6,Grain,"1,517",-10.4%,"1,517",-10.4%,-10.8%,Mexican,2022-05-25
7,Metallic Ores and Metals,"5,485",13.1%,"5,485",13.1%,14.5%,Mexican,2022-05-25
8,Motor Vehicles and Parts,"4,052",9.2%,"4,052",9.2%,4.8%,Mexican,2022-05-25
9,Nonmetallic Minerals,"4,339",-9.2%,"4,339",-9.2%,-0.2%,Mexican,2022-05-25
10,Petroleum and Petroleum Products,"1,462",-2.5%,"1,462",-2.5%,32.5%,Mexican,2022-05-25
11,Other,"1,239",41.9%,"1,239",41.9%,44.6%,Mexican,2022-05-25
12,Total Intermodal Units,"15,761",4.4%,"15,761",4.4%,-2.6%,Mexican,2022-05-25
13,Total Traffic,"37,059",3.7%,"37,059",3.7%,3.2%,Mexican,2022-05-25
1,Total Carloads,"329,823",-2.8%,"329,823",-2.8%,-0.9%,North_american,2022-05-25
2,Chemicals,"46,931",-0.5%,"46,931",-0.5%,3.3%,North_american,2022-05-25
3,Coal,"73,739",1.4%,"73,739",1.4%,6.9%,North_american,2022-05-25
4,"Farm Products excl. Grain, and Food","22,502",-11.2%,"22,502",-11.2%,-6.4%,North_american,2022-05-25
5,Forest Products,"16,990",0.4%,"16,990",0.4%,-3.1%,North_american,2022-05-25
6,Grain,"29,784",-15.2%,"29,784",-15.2%,-15.6%,North_american,2022-05-25
7,Metallic Ores and Metals,"42,572",0.2%,"42,572",0.2%,-2.8%,North_american,2022-05-25
8,Motor Vehicles and Parts,"22,471",2.2%,"22,471",2.2%,-1.9%,North_american,2022-05-25
9,Nonmetallic Minerals,"43,395",-1.4%,"43,395",-1.4%,4.9%,North_american,2022-05-25
10,Petroleum and Petroleum Products,"20,564",5.6%,"20,564",5.6%,-3.6%,North_american,2022-05-25
11,Other,"10,875",-21.7%,"10,875",-21.7%,-6.7%,North_american,2022-05-25
12,Total Intermodal Units,"365,682",-3.0%,"365,682",-3.0%,-6.4%,North_american,2022-05-25
13,Total Traffic,"695,505",-2.9%,"695,505",-2.9%,-3.8%,North_american,2022-05-25
1,Total Carloads,"233,633",-4.0%,"233,633",-4.0%,0.2%,U.S,2022-06-01
2,Chemicals,"33,345",-2.0%,"33,345",-2.0%,6.1%,U.S,2022-06-01
3,Coal,"63,937",-4.1%,"63,937",-4.1%,5.4%,U.S,2022-06-01
4,"Farm Products excl. Grain, and Food","16,694",8.5%,"16,694",8.5%,2.8%,U.S,2022-06-01
5,Forest Products,"9,969",-5.2%,"9,969",-5.2%,-0.8%,U.S,2022-06-01
6,Grain,"21,686",-15.1%,"21,686",-15.1%,-10.3%,U.S,2022-06-01
7,Metallic Ores and Metals,"21,109",-13.3%,"21,109",-13.3%,-6.4%,U.S,2022-06-01
8,Motor Vehicles and Parts,"13,708",6.0%,"13,708",6.0%,-3.6%,U.S,2022-06-01
9,Nonmetallic Minerals,"32,423",-0.4%,"32,423",-0.4%,5.7%,U.S,2022-06-01
10,Petroleum and Petroleum Products,"9,602",-14.0%,"9,602",-14.0%,-15.4%,U.S,2022-06-01
11,Other,"11,160",9.2%,"11,160",9.2%,-6.7%,U.S,2022-06-01
12,Total Intermodal Units,"280,644",-2.2%,"280,644",-2.2%,-6.6%,U.S,2022-06-01
13,Total Traffic,"514,277",-3.0%,"514,277",-3.0%,-3.5%,U.S,2022-06-01
